Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nyse:dpz,6657899956,2268750,2017-02-21 00:00:00,Dominos,0,False,304888,16623811,281190,6657899956,2017-02-21 06:48:13,2017-02-21 06:48:13,Consumer Services,Travel & Leisure
lon:dom,207571100452,2271720,2017-02-21 00:00:00,DominosPizza,0,False,75688,1041806,4150,207571100452,2017-02-21 07:33:15,2017-02-21 07:33:15,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2271721,2017-02-21 00:00:00,dominos.ch,0,False,0,9586,1995,137239632978345,2017-02-21 07:33:16,2017-02-21 07:33:16,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2267700,2017-02-21 00:00:00,papajohnsus,5871,False,317681,5015915,12613,34703237638,2017-02-21 06:32:50,2017-02-21 06:32:50,Consumer Services,Travel & Leisure
lon:dom,375119861670,2265335,2017-02-20 00:00:00,DominosIreland,0,False,0,79577,365,375119861670,2017-02-20 07:48:26,2017-02-20 07:48:26,Consumer Services,Travel & Leisure
lon:dom,207571100452,2265336,2017-02-20 00:00:00,DominosPizza,0,False,75678,1041796,8206,207571100452,2017-02-20 07:48:27,2017-02-20 07:48:27,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2265337,2017-02-20 00:00:00,dominos.ch,0,False,0,9572,2187,137239632978345,2017-02-20 07:48:27,2017-02-20 07:48:27,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2265334,2017-02-20 00:00:00,dominosdeutschland,772,False,0,241437,1360,172657786081466,2017-02-20 07:48:26,2017-02-20 07:48:26,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2261316,2017-02-20 00:00:00,papajohnsus,5863,False,317541,5012755,12338,34703237638,2017-02-20 06:28:40,2017-02-20 06:28:40,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2262365,2017-02-20 00:00:00,Dominos,0,False,304666,16617415,264007,6657899956,2017-02-20 06:49:42,2017-02-20 06:49:42,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2250055,2017-02-19 00:00:00,papajohnsus,5851,False,317360,5010836,11411,34703237638,2017-02-19 07:30:18,2017-02-19 07:30:18,Consumer Services,Travel & Leisure
lon:dom,207571100452,2258095,2017-02-19 00:00:00,DominosPizza,0,False,75660,1041758,9094,207571100452,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
lon:dom,375119861670,2258093,2017-02-19 00:00:00,DominosIreland,0,False,0,79565,537,375119861670,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2258091,2017-02-19 00:00:00,dominosdeutschland,772,False,0,241356,1448,172657786081466,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2252153,2017-02-19 00:00:00,Dominos,0,False,304273,16611769,251622,6657899956,2017-02-19 07:46:54,2017-02-19 07:46:54,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2258097,2017-02-19 00:00:00,dominos.ch,0,False,0,9477,2132,137239632978345,2017-02-19 08:32:18,2017-02-19 08:32:18,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2258096,2017-02-18 00:00:00,dominos.ch,0,False,0,9444,2132,137239632978345,2017-02-19 08:32:18,2017-02-19 08:32:18,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2252152,2017-02-18 00:00:00,Dominos,0,False,304000,16609048,251622,6657899956,2017-02-19 07:46:54,2017-02-19 07:46:54,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2258090,2017-02-18 00:00:00,dominosdeutschland,772,False,0,241367,1448,172657786081466,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
lon:dom,375119861670,2258092,2017-02-18 00:00:00,DominosIreland,0,False,0,79558,537,375119861670,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2250054,2017-02-18 00:00:00,papajohnsus,5842,False,317196,5010161,11411,34703237638,2017-02-19 07:30:18,2017-02-19 07:30:18,Consumer Services,Travel & Leisure
lon:dom,207571100452,2258094,2017-02-18 00:00:00,DominosPizza,0,False,75662,1041768,9094,207571100452,2017-02-19 08:32:17,2017-02-19 08:32:17,Consumer Services,Travel & Leisure
lon:dom,207571100452,2246190,2017-02-17 00:00:00,DominosPizza,0,False,75614,1041749,9811,207571100452,2017-02-17 09:10:30,2017-02-17 09:10:30,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2246191,2017-02-17 00:00:00,dominos.ch,0,False,0,9208,1260,137239632978345,2017-02-17 09:10:30,2017-02-17 09:10:30,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2243226,2017-02-17 00:00:00,Dominos,0,False,303394,16596337,209399,6657899956,2017-02-17 08:18:02,2017-02-17 08:18:02,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2246188,2017-02-17 00:00:00,dominosdeutschland,772,False,0,241288,1422,172657786081466,2017-02-17 09:10:30,2017-02-17 09:10:30,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2242177,2017-02-17 00:00:00,papajohnsus,5825,False,316941,5006646,11845,34703237638,2017-02-17 07:54:36,2017-02-17 07:54:36,Consumer Services,Travel & Leisure
lon:dom,375119861670,2246189,2017-02-17 00:00:00,DominosIreland,0,False,0,79543,832,375119861670,2017-02-17 09:10:30,2017-02-17 09:10:30,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2236857,2017-02-16 00:00:00,Dominos,0,False,303048,16588017,209399,6657899956,2017-02-16 08:23:47,2017-02-16 08:23:47,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2235808,2017-02-16 00:00:00,papajohnsus,5819,False,316803,5004333,11777,34703237638,2017-02-16 08:06:27,2017-02-16 08:06:27,Consumer Services,Travel & Leisure
lon:dom,207571100452,2239824,2017-02-16 00:00:00,DominosPizza,0,False,75604,1041742,11050,207571100452,2017-02-16 09:06:18,2017-02-16 09:06:18,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2239825,2017-02-16 00:00:00,dominos.ch,0,False,0,9123,1260,137239632978345,2017-02-16 09:06:18,2017-02-16 09:06:18,Consumer Services,Travel & Leisure
lon:dom,375119861670,2239823,2017-02-16 00:00:00,DominosIreland,0,False,0,79535,873,375119861670,2017-02-16 09:06:18,2017-02-16 09:06:18,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2239822,2017-02-16 00:00:00,dominosdeutschland,772,False,0,241242,1503,172657786081466,2017-02-16 09:06:17,2017-02-16 09:06:17,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2229458,2017-02-15 00:00:00,papajohnsus,5815,False,316638,5002762,11601,34703237638,2017-02-15 10:12:50,2017-02-15 10:12:50,Consumer Services,Travel & Leisure
lon:dom,375119861670,2233459,2017-02-15 00:00:00,DominosIreland,0,False,0,79538,873,375119861670,2017-02-15 11:11:05,2017-02-15 11:11:05,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2233458,2017-02-15 00:00:00,dominosdeutschland,772,False,0,241199,1608,172657786081466,2017-02-15 11:11:05,2017-02-15 11:11:05,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2233461,2017-02-15 00:00:00,dominos.ch,0,False,0,9065,1034,137239632978345,2017-02-15 11:11:05,2017-02-15 11:11:05,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2230508,2017-02-15 00:00:00,Dominos,0,False,302828,16580293,175322,6657899956,2017-02-15 10:30:36,2017-02-15 10:30:36,Consumer Services,Travel & Leisure
lon:dom,207571100452,2233460,2017-02-15 00:00:00,DominosPizza,0,False,75587,1041695,11050,207571100452,2017-02-15 11:11:05,2017-02-15 11:11:05,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2227109,2017-02-14 00:00:00,dominos.ch,0,False,0,9025,782,137239632978345,2017-02-15 02:48:39,2017-02-15 02:48:39,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2223106,2017-02-14 00:00:00,papajohnsus,5791,False,316281,5001423,12679,34703237638,2017-02-14 23:18:15,2017-02-14 23:18:15,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2224156,2017-02-14 00:00:00,Dominos,0,False,302606,16574812,146197,6657899956,2017-02-15 00:18:40,2017-02-15 00:18:40,Consumer Services,Travel & Leisure
lon:dom,375119861670,2227107,2017-02-14 00:00:00,DominosIreland,0,False,0,79536,873,375119861670,2017-02-15 02:48:37,2017-02-15 02:48:37,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2227106,2017-02-14 00:00:00,dominosdeutschland,772,False,0,241188,1608,172657786081466,2017-02-15 02:48:36,2017-02-15 02:48:36,Consumer Services,Travel & Leisure
lon:dom,207571100452,2227108,2017-02-14 00:00:00,DominosPizza,0,False,75581,1041675,9020,207571100452,2017-02-15 02:48:38,2017-02-15 02:48:38,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2219888,2017-02-13 00:00:00,dominosdeutschland,772,False,0,241091,1659,172657786081466,2017-02-13 18:27:14,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
lon:dom,375119861670,2219890,2017-02-13 00:00:00,DominosIreland,0,False,0,79483,686,375119861670,2017-02-13 18:27:16,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2219894,2017-02-13 00:00:00,dominos.ch,0,False,0,8846,414,137239632978345,2017-02-13 18:27:18,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
lon:dom,207571100452,2219892,2017-02-13 00:00:00,DominosPizza,0,False,75547,1040545,4514,207571100452,2017-02-13 18:27:17,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2211906,2017-02-13 00:00:00,papajohnsus,5765,False,315934,4997644,13275,34703237638,2017-02-13 10:33:06,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2213990,2017-02-13 00:00:00,Dominos,0,False,302002,16560792,112495,6657899956,2017-02-13 15:10:32,2017-02-13 23:50:41,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2219887,2017-02-12 00:00:00,dominosdeutschland,772,False,0,241000,1782,172657786081466,2017-02-13 18:27:14,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2213989,2017-02-12 00:00:00,Dominos,0,False,301753,16556044,112495,6657899956,2017-02-13 15:10:32,2017-02-13 23:50:41,Consumer Services,Travel & Leisure
lon:dom,207571100452,2219891,2017-02-12 00:00:00,DominosPizza,0,False,75527,1040486,3601,207571100452,2017-02-13 18:27:17,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2219893,2017-02-12 00:00:00,dominos.ch,0,False,0,8785,120,137239632978345,2017-02-13 18:27:18,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2211905,2017-02-12 00:00:00,papajohnsus,5749,False,315809,4993438,13374,34703237638,2017-02-13 10:33:06,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
lon:dom,375119861670,2219889,2017-02-12 00:00:00,DominosIreland,0,False,0,79440,400,375119861670,2017-02-13 18:27:16,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,207571100452,2207237,2017-02-11 00:00:00,DominosPizza,0,False,75515,1040428,3595,207571100452,2017-02-11 15:09:27,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2207239,2017-02-11 00:00:00,dominos.ch,0,False,0,8784,125,137239632978345,2017-02-11 15:09:28,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
lon:dom,375119861670,2207235,2017-02-11 00:00:00,DominosIreland,0,False,0,79358,340,375119861670,2017-02-11 15:09:26,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2207233,2017-02-11 00:00:00,dominosdeutschland,772,False,0,240977,1833,172657786081466,2017-02-11 15:09:25,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2199264,2017-02-11 00:00:00,papajohnsus,5729,False,315555,4989555,22464,34703237638,2017-02-11 12:37:15,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
